name,url,grade,city,country,address,locality,region,postal,lat,lon,place_id
Hoppers,https://guide.michelin.com/en/greater-london/london/restaurant/hoppers,bib_gourmand,London,United Kingdom,"49 Frith Street, Soho London Greater London W1D 4SG GBR",London,Greater London,W1D 4SG,51.5136031,-0.1316696,ChIJr0tb59IEdkgRv-YdFGtD1CA
Hum Garden,https://guide.michelin.com/en/ho-chi-minh/ho-chi-minh_2978179/restaurant/hum-garden,bib_gourmand,Ho Chi Minh City,Vietnam,"32 D10 Street, Thao Dien Ward, Thu Duc City Ho Chi Minh City Hồ Chí Minh 700000 VNM",Ho Chi Minh City,Hồ Chí Minh,700000,10.8042095,106.7440478,ChIJS_8AYhQmdTERZQQLqFEyveM
Hồng Phát (District 3),https://guide.michelin.com/en/ho-chi-minh/ho-chi-minh_2978179/restaurant/hong-phat-district-3,bib_gourmand,Ho Chi Minh City,Vietnam,"389-391 Vo Van Tan Street, Ward 5, District 3 Ho Chi Minh City Hồ Chí Minh 70000 VNM",Ho Chi Minh City,Hồ Chí Minh,70000,10.7705485,106.6847932,ChIJa84CUSIvdTERyXeHC2uw9K4
IL BALLOND'ORO,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/il-ballond-oro,bib_gourmand,Tokyo,Japan,"1-24-10 Ebisu, Shibuya-ku Tokyo Tokyo 150-0013 JPN",Tokyo,Tokyo,150-0013,35.646651,139.715463,ChIJkeqk6T2LGGARg_HPrA-iekU
In-Pulso,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/in-pulso,bib_gourmand,Madrid,Spain,Ariel 15 Madrid Community of Madrid 28045 ESP,Madrid,Community of Madrid,28045,40.392553,-3.6801418,ChIJU_RYAcUnQg0Rht44lja2dts
Indian Aroma,https://guide.michelin.com/en/da-nang-region/da-nang_2984390/restaurant/indian-aroma-restaurant,bib_gourmand,Da Nang,Vietnam,"24 An Thuong 6 Street, My An Ward, Ngu Hanh Son District Da Nang Da Nang Region 550000 VNM",Da Nang,Da Nang Region,550000,16.0471001,108.2454776,ChIJeaoZL80ZQjER-P1160MSdeI
Izakaya Tokitame,https://guide.michelin.com/en/osaka-region/osaka/restaurant/izakaya-tokitame,bib_gourmand,Osaka,Japan,"6-9-17 Fukushima, Fukushima-ku Osaka Osaka 553-0003 JPN",Osaka,Osaka,553-0003,34.6999249,135.4879198,ChIJhTUf857nAGAR1DzhU1iyyvk
Jaan by Khun Jim,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/jaan-by-khun-jim,bib_gourmand,Bangkok,Thailand,"9 Soi Chan 7, Chong Nonsi, Yan Nawa Bangkok Bangkok Region 10120 THA",Bangkok,Bangkok Region,10120,13.7056241,100.53575,ChIJ8XJV7Guf4jAR4XhBhDE18YE
Japanese Ramen Gokan,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/japanese-ramen-gokan,bib_gourmand,Tokyo,Japan,"2-57-2 Higashiikebukuro, Toshima-ku Tokyo Tokyo 170-0013 JPN",Tokyo,Tokyo,170-0013,35.7330795,139.7179055,ChIJ6XK00umNGGAR56saMFWNS7A
Jeongmyeon,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/jeongmyeon,bib_gourmand,Seoul,South Korea,"88 Neungdong-ro 13-gil, Gwangjin-gu Seoul Seoul Capital Area 05012 KOR",Seoul,Seoul Capital Area,05012,37.5455262,127.0687454,ChIJNzgZOqalfDURp8oGe93cVsI
Josephine Bouchon,https://guide.michelin.com/en/greater-london/london/restaurant/josephine-1212913,bib_gourmand,London,United Kingdom,"315 Fulham Road, Chelsea London Greater London SW10 9QH GBR",London,Greater London,SW10 9QH,51.4865618,-0.1794704,ChIJDezRSQAFdkgRGpiHhcnAPOQ
K. Panich,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/k-panich,bib_gourmand,Bangkok,Thailand,"431-433 Tanao Road, Sao Chingcha, Phra Nakhon Bangkok Bangkok Region 10200 THA",Bangkok,Bangkok Region,10200,13.7520958,100.4983613,ChIJWZU0mRGZ4jARFdWbuetBFRo
Kamigata Rainbow,https://guide.michelin.com/en/osaka-region/osaka/restaurant/kamigata-rainbow,bib_gourmand,Osaka,Japan,"4-6-3 Katsuyama, Tennoji-ku Osaka Osaka 543-0043 JPN",Osaka,Osaka,543-0043,34.6547906,135.5259001,ChIJb4k86lXfAGARURFghzkBQCc
Katchar Batchar,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/katchar-batchar,bib_gourmand,Tokyo,Japan,"2F, 3-2-10 Minamiotsuka, Toshima-ku Tokyo Tokyo 170-0005 JPN",Tokyo,Tokyo,170-0005,35.7273104,139.7294694,ChIJKeJf33SNGGAREiG6980xtdI
Kateh,https://guide.michelin.com/en/greater-london/london/restaurant/kateh,bib_gourmand,London,United Kingdom,"5 Warwick Place, Little Venice London Greater London W9 2PX GBR",London,Greater London,W9 2PX,51.5220581,-0.1837622,ChIJiXZx8TgFdkgRgHLsZ8cg-sA
Katsuo Shokudo,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/katsuo-shokudo,bib_gourmand,Tokyo,Japan,"B1F, 7-12 Uguisudanicho, Shibuya-ku Tokyo Tokyo 150-0032 JPN",Tokyo,Tokyo,150-0032,35.6541103,139.7021029,ChIJ5VahuViLGGARdhxzaSEMQ6w
Keawloon,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/keawloon,bib_gourmand,Bangkok,Thailand,"21/3 Soi Saeng Chan, Phra Khanong, Khlong Toei Bangkok Bangkok Region 10110 THA",Bangkok,Bangkok Region,10110,13.7148398,100.5790397,ChIJ0RF8eQCf4jARlhEtxUTBaOc
Kin Kub Koi,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/kin-kub-koi,bib_gourmand,Bangkok,Thailand,"83/3 Phuttha Monthon Sai 2 Road, Sala Thammasop, Thawi Watthana Bangkok Bangkok Region 10170 THA",Bangkok,Bangkok Region,10170,13.7774575,100.394546,ChIJEwhdrnyR4jARhFimgCdzFdY
Kinoshita,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kinoshita-1197753,bib_gourmand,Tokyo,Japan,"3-37-1 Yoyogi, Shibuya-ku Tokyo Tokyo 151-0053 JPN",Tokyo,Tokyo,151-0053,35.6818523,139.6933909,ChIJD_Eo_MyMGGARvoO1fJh3vDM
Kolae,https://guide.michelin.com/en/greater-london/london/restaurant/kolae,bib_gourmand,London,United Kingdom,"6 Park Street, Borough Market London Greater London SE1 9AB GBR",London,Greater London,SE1 9AB,51.5054582,-0.0916343,ChIJawZwMzUDdkgRTmInf-sKA8g
Kricket,https://guide.michelin.com/en/greater-london/london/restaurant/kricket,bib_gourmand,London,United Kingdom,"12 Denman Street, Soho London Greater London W1D 7HH GBR",London,Greater London,W1D 7HH,51.5108075,-0.1351688,ChIJXWnxCtQEdkgRcG32UcQZFVQ
Krua Apsorn (Dusit),https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/krua-apsorn-sam-sen,bib_gourmand,Bangkok,Thailand,"503-505 Sam Sen Road, Wachira Payaban, Dusit Bangkok Bangkok Region 10300 THA",Bangkok,Bangkok Region,10300,13.7740734,100.5062943,ChIJ2ayngBOZ4jARqgvyGWQ_aGY
Kudu,https://guide.michelin.com/en/greater-london/london/restaurant/kudu,bib_gourmand,London,United Kingdom,"7 Moxon Street, Marylebone London Greater London W1U 4EP GBR",London,Greater London,W1U 4EP,51.5197206,-0.152286,ChIJWTIkDggDdkgRwo3fbxXdVkc
Kyewol,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/kyewol-gomtang,bib_gourmand,Seoul,South Korea,"8 Seongdeokjeong 3-gil, Seongdong-gu Seoul Seoul Capital Area 04774 KOR",Seoul,Seoul Capital Area,04774,37.5395267,127.0476224,ChIJ3z3vJ3ulfDUR893XkU1Inyk
Kyodaiya,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/kyodaiya,bib_gourmand,Seoul,South Korea,"39 Seongji-gil, Mapo-gu Seoul Seoul Capital Area 04083 KOR",Seoul,Seoul Capital Area,04083,37.5469039,126.913187,ChIJn5sM9u6efDURMountCMxj_Y
